date,jersey_number,players,minutes,points,field_goals_made,field_goals_attempts,field_goals_pct,two_points_made,two_points_attempts,two_points_pct,three_points_made,three_points_attempts,three_points_pct,free_throws_made,free_throws_attempts,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,efficiency,opponent,win,competition,group,phase,home
23-Oct-20,12,Deng Kuany,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
24-Feb-23,1,Nuni Omot,32,26,7,14,50,6,9,66.7,1,5,20,11,12,91.7,1,7,8,4,1,0,2,1,2,29,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,4,Mareng Gatkuoth,9,3,1,3,33.3,0,2,0,1,1,100,0,0,0,1,1,2,3,0,0,2,0,5,4,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,7,Bul Kuol,33,12,4,7,57.1,1,2,50,3,5,60,1,2,50,0,3,3,2,2,0,0,3,3,15,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,8,Kuany Ngor Kuany,17,4,1,2,50,1,1,100,0,1,0,2,3,66.7,1,3,4,2,0,0,1,4,4,7,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,10,Padiet Wang,8,4,2,2,100,2,2,100,0,0,0,0,0,0,0,1,1,1,2,0,0,0,5,8,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,12,Deng Acuoth,11,1,0,2,0,0,2,0,0,0,0,1,2,50,2,0,2,1,0,0,4,3,9,-3,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,13,Majok Deng,9,9,4,6,66.7,3,5,60,1,1,100,0,0,0,0,1,1,0,0,0,0,1,6,8,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,14,Dut Jok Kacuol,24,6,2,7,28.6,0,2,0,2,5,40,0,0,0,1,4,5,1,1,0,0,1,4,8,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,21,Koch Deng Aguer Bar,29,11,4,9,44.4,4,9,44.4,0,0,0,3,4,75,1,7,8,2,0,0,0,2,2,15,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,35,Kur Nyok Kuath,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,0,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Feb-23,44,Sunday Dech,32,7,2,9,22.2,1,6,16.7,1,3,33.3,2,4,50,1,8,9,6,0,0,3,0,3,10,Senegal,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group F,2nd Round,TRUE
24-Oct-20,0,Teny Bak Puot,25,17,5,10,50,1,1,100,4,9,44.4,3,3,100,1,2,3,4,0,0,2,3,29,17,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,1,Titgyeth Kwajakwan,12,4,1,3,33.3,0,1,0,1,2,50,1,2,50,0,1,1,3,0,0,1,2,8,4,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,2,Nyang Wek,18,7,3,4,75,3,4,75,0,0,0,1,3,33.3,3,6,9,1,1,0,2,3,14,13,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,3,Bol Bak,19,12,4,4,100,3,3,100,1,1,100,3,5,60,0,3,3,3,1,0,3,1,9,14,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,4,Mangistu Jongkor,10,3,1,5,20,0,1,0,1,4,25,0,0,0,1,0,1,1,0,0,3,1,8,-2,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,6,Deng Acuoth,24,8,2,3,66.7,2,3,66.7,0,0,0,4,4,100,3,5,8,5,2,2,0,0,20,24,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,7,Chier Chier,16,5,0,4,0,0,2,0,0,2,0,5,6,83.3,1,0,1,1,1,1,2,0,12,2,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,8,Kuany Ngor Kuany,32,15,4,11,36.4,3,3,100,1,8,12.5,6,7,85.7,2,12,14,6,0,0,3,0,29,24,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,9,Mathiang Mauot Muo,20,5,2,5,40,1,2,50,1,3,33.3,0,2,0,0,2,2,2,0,1,2,5,8,3,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,10,Makuei Puondak,9,3,1,1,100,1,1,100,0,0,0,1,2,50,0,1,1,0,0,0,1,2,5,2,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,11,Emmanuel Malou,17,15,7,9,77.8,7,7,100,0,2,0,1,2,50,0,1,1,0,1,2,0,3,10,16,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
24-Oct-20,12,Deng Kuany,4,6,1,2,50,0,0,0,1,2,50,3,4,75,1,1,2,1,1,0,0,0,3,8,Chad,TRUE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,TRUE
25-Feb-22,1,Nuni Omot,27,8,2,6,33.3,1,4,25,1,2,50,3,6,50,0,6,6,0,0,0,1,3,12,6,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
